,,,,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8559,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1994,  8 312,  8 145,  7 604,  6 423,  5 436,  4 566,  3 987,  3 335,  2 614,  2 126,  1 795,  1 437,  1 130,   850,   584,   330,   131,   30,   3,   0,   0
8560,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1995,  8 280,  8 151,  7 746,  6 620,  5 647,  4 694,  4 067,  3 442,  2 736,  2 155,  1 845,  1 474,  1 151,   867,   596,   336,   134,   31,   3,   0,   0
8561,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1996,  8 279,  8 138,  7 841,  6 830,  5 854,  4 841,  4 146,  3 547,  2 850,  2 205,  1 895,  1 513,  1 174,   884,   609,   344,   138,   32,   3,   0,0
8562,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1997,  8 343,  8 109,  7 889,  7 044,  6 041,  5 020,  4 233,  3 648,  2 963,  2 270,  1 942,  1 553,  1 201,   903,   623,   353,   142,   33,   4,   0,   0
8563,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1998,  8 461,  8 076,  7 909,  7 240,  6 219,  5 222,  4 333,  3 741,  3 074,  2 360,  1 974,  1 596,  1 232,   923,   639,   363,   147,   35,   4,   0,   0
8564,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1999,  8 597,  8 050,  7 920,  7 405,  6 408,  5 433,  4 446,  3 826,  3 181,  2 477,  1 994,  1 642,  1 266,   945,   656,   375,   153,   38,   4,   0,   0
8565,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2000,  8 741,  8 033,  7 904,  7 532,  6 616,  5 653,  4 568,  3 894,  3 281,  2 594,  2 021,  1 689,  1 303,   968,   675,   389,   160,   40,   4,   0,   0
8566,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2001,  8 884,  8 045,  7 897,  7 605,  6 799,  5 843,  4 702,  3 962,  3 379,  2 704,  2 070,  1 737,  1 342,   994,   695,   404,   168,   43,   5,   0,   0
8567,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2002,  8 983,  8 116,  7 918,  7 636,  6 938,  5 977,  4 865,  4 046,  3 477,  2 818,  2 138,  1 788,  1 383,  1 022,   716,   420,   178,   46,   5,   0,0
8568,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2003,  9 028,  8 238,  7 928,  7 654,  7 060,  6 088,  5 041,  4 139,  3 567,  2 929,  2 230,  1 827,  1 427,  1 053,   737,   436,   188,   50,   6,   0,0
8569,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2004,  9 030,  8 376,  7 934,  7 678,  7 155,  6 198,  5 214,  4 241,  3 648,  3 035,  2 348,  1 852,  1 475,  1 087,   759,   454,   199,   53,   6,   0,0
8570,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2005,  8 985,  8 521,  7 939,  7 707,  7 228,  6 309,  5 382,  4 355,  3 719,  3 137,  2 467,  1 887,  1 527,  1 122,   781,   472,   210,   58,   7,   0,0
8571,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2006,  8 894,  8 667,  7 958,  7 732,  7 270,  6 425,  5 533,  4 481,  3 788,  3 238,  2 578,  1 941,  1 580,  1 159,   804,   490,   222,   63,   8,   0,   0
8572,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2007,  8 773,  8 772,  8 029,  7 747,  7 283,  6 544,  5 651,  4 631,  3 865,  3 333,  2 688,  2 008,  1 631,  1 198,   830,   509,   235,   68,   9,   0,   0
8573,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2008,  8 632,  8 823,  8 150,  7 752,  7 288,  6 648,  5 748,  4 797,  3 953,  3 421,  2 796,  2 098,  1 671,  1 240,   858,   529,   249,   74,   10,   0,   0
8574,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2009,  8 471,  8 833,  8 288,  7 754,  7 302,  6 730,  5 847,  4 962,  4 051,  3 501,  2 900,  2 211,  1 697,  1 286,   889,   550,   265,   82,   12,   0,   0
8575,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2010,  8 292,  8 795,  8 432,  7 758,  7 326,  6 796,  5 953,  5 125,  4 161,  3 572,  3 000,  2 327,  1 735,  1 336,   922,   572,   282,   90,   14,   0,   0
8576,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2011,  8 105,  8 711,  8 578,  7 782,  7 358,  6 844,  6 074,  5 277,  4 288,  3 643,  3 100,  2 437,  1 791,  1 388,   959,   598,   302,   101,   16,   0,   0
8577,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2012,  7 922,  8 600,  8 685,  7 862,  7 392,  6 876,  6 206,  5 404,  4 443,  3 724,  3 198,  2 547,  1 860,  1 441,  1 000,   628,   324,   113,   20,   1,   0
8578,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2013,  7 764,  8 470,  8 738,  7 990,  7 415,  6 901,  6 326,  5 511,  4 613,  3 816,  3 288,  2 655,  1 950,  1 483,  1 044,   660,   347,   127,   25,   1,   0
8579,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2014,  7 642,  8 320,  8 750,  8 130,  7 433,  6 934,  6 425,  5 622,  4 784,  3 918,  3 369,  2 759,  2 063,  1 514,  1 092,   695,   370,   141,   29,   2,   0
8580,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2015,  7 567,  8 153,  8 714,  8 275,  7 446,  6 975,  6 505,  5 738,  4 953,  4 031,  3 442,  2 860,  2 178,  1 555,  1 143,   730,   394,   157,   35,   3,   0
8581,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2016,  7 548,  7 974,  8 634,  8 420,  7 473,  7 014,  6 560,  5 863,  5 108,  4 157,  3 513,  2 959,  2 287,  1 614,  1 196,   767,   419,   172,   41,   4,   0
8582,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2017,  7 570,  7 823,  8 556,  8 551,  7 637,  7 040,  6 629,  5 931,  5 151,  4 255,  3 544,  3 001,  2 356,  1 680,  1 247,   805,   445,   188,   48,   5,   0
8583,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2018,  7 615,  7 722,  8 491,  8 650,  7 930,  7 084,  6 717,  5 971,  5 084,  4 303,  3 540,  2 982,  2 377,  1 754,  1 289,   845,   472,   204,   54,   6,   0
8584,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2019,  7 673,  7 653,  8 400,  8 709,  8 199,  7 211,  6 759,  6 097,  5 010,  4 326,  3 548,  2 955,  2 379,  1 833,  1 322,   888,   499,   220,   62,   8,   0
8585,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2020,  7 747,  7 614,  8 285,  8 748,  8 403,  7 450,  6 732,  6 308,  4 948,  4 317,  3 564,  2 926,  2 365,  1 891,  1 358,   928,   523,   234,   69,   10,   0
8586,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2021,  7 835,  7 598,  8 156,  8 772,  8 536,  7 784,  6 668,  6 553,  4 937,  4 268,  3 582,  2 902,  2 334,  1 915,  1 404,   963,   545,   246,   76,   12,   1
8587,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2022,  7 941,  7 587,  8 007,  8 732,  8 588,  8 073,  6 676,  6 725,  5 100,  4 270,  3 650,  2 944,  2 357,  1 934,  1 462,  1 004,   573,   263,   84,   14,   1
8588,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2023,  8 054,  7 587,  7 854,  8 610,  8 600,  8 238,  6 821,  6 760,  5 434,  4 347,  3 767,  3 049,  2 442,  1 965,  1 531,  1 045,   609,   284,   93,   16,   1
