,,,,,,,,,,,Male population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8567,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2002,  9 265,  8 378,  8 235,  7 741,  6 822,  5 778,  4 812,  4 208,  3 697,  3 084,  2 376,  2 001,  1 536,  1 107,   743,   432,   190,   53,   7,   0,   0
8568,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2003,  9 316,  8 494,  8 240,  7 795,  6 927,  5 840,  4 897,  4 249,  3 754,  3 173,  2 457,  2 032,  1 575,  1 138,   762,   441,   194,   54,   6,   0,   0
8569,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2004,  9 318,  8 632,  8 235,  7 852,  7 008,  5 903,  4 982,  4 282,  3 800,  3 252,  2 563,  2 047,  1 617,  1 171,   783,   451,   200,   56,   6,   0,0
8570,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2005,  9 270,  8 782,  8 223,  7 908,  7 070,  5 973,  5 069,  4 309,  3 835,  3 322,  2 671,  2 067,  1 662,  1 204,   803,   463,   206,   58,   6,   0,0
8571,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2006,  9 173,  8 938,  8 223,  7 949,  7 113,  6 049,  5 147,  4 335,  3 863,  3 385,  2 767,  2 105,  1 708,  1 238,   825,   476,   213,   61,   7,   0,   0
8572,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2007,  9 045,  9 055,  8 277,  7 966,  7 140,  6 127,  5 196,  4 380,  3 890,  3 442,  2 856,  2 155,  1 751,  1 273,   849,   491,   220,   63,   7,   0,   0
8573,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2008,  8 898,  9 112,  8 392,  7 961,  7 165,  6 194,  5 227,  4 443,  3 917,  3 490,  2 937,  2 229,  1 779,  1 309,   875,   507,   228,   67,   7,   0,   0
8574,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2009,  8 731,  9 121,  8 530,  7 950,  7 201,  6 248,  5 267,  4 511,  3 940,  3 530,  3 009,  2 327,  1 791,  1 347,   903,   523,   237,   70,   8,   0,   0
8575,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2010,  8 546,  9 080,  8 680,  7 936,  7 246,  6 294,  5 322,  4 587,  3 961,  3 561,  3 075,  2 426,  1 809,  1 389,   932,   540,   246,   74,   9,   0,   0
8576,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2011,  8 354,  8 992,  8 839,  7 945,  7 300,  6 347,  5 404,  4 669,  3 990,  3 592,  3 138,  2 517,  1 844,  1 434,   965,   560,   258,   79,   10,   0,   0
8577,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2012,  8 170,  8 876,  8 961,  8 017,  7 350,  6 407,  5 507,  4 736,  4 048,  3 627,  3 198,  2 603,  1 892,  1 480,  1 001,   583,   272,   86,   13,   0,   0
8578,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2013,  8 018,  8 741,  9 022,  8 145,  7 378,  6 470,  5 605,  4 788,  4 126,  3 664,  3 252,  2 682,  1 961,  1 513,  1 039,   609,   287,   92,   15,   0,   0
8579,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2014,  7 910,  8 585,  9 036,  8 289,  7 393,  6 541,  5 688,  4 851,  4 209,  3 698,  3 297,  2 753,  2 052,  1 531,  1 081,   637,   303,   100,   18,   1,   0
8580,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2015,  7 855,  8 412,  8 999,  8 442,  7 397,  6 615,  5 761,  4 927,  4 298,  3 729,  3 334,  2 819,  2 145,  1 555,  1 127,   666,   320,   108,   20,   1,   0
8581,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2016,  7 858,  8 227,  8 914,  8 599,  7 409,  6 677,  5 822,  5 015,  4 385,  3 762,  3 367,  2 882,  2 232,  1 593,  1 174,   698,   338,   117,   23,   2,   0
8582,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2017,  7 920,  8 124,  8 786,  8 602,  7 459,  6 692,  5 938,  5 161,  4 456,  3 820,  3 397,  2 935,  2 322,  1 646,  1 220,   732,   359,   127,   26,   2,   0
8583,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2018,  8 007,  8 127,  8 678,  8 449,  7 513,  6 666,  6 081,  5 370,  4 533,  3 898,  3 427,  2 975,  2 407,  1 724,  1 256,   769,   382,   138,   29,   3,   0
8584,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2019,  8 085,  8 154,  8 644,  8 315,  7 498,  6 655,  6 139,  5 600,  4 649,  3 975,  3 461,  3 005,  2 474,  1 825,  1 279,   809,   407,   150,   33,   3,   0
8585,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2020,  8 167,  8 180,  8 664,  8 253,  7 396,  6 679,  6 099,  5 835,  4 806,  4 053,  3 501,  3 031,  2 524,  1 917,  1 299,   845,   429,   161,   37,   4,   0
8586,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2021,  8 253,  8 187,  8 717,  8 285,  7 232,  6 724,  5 984,  6 035,  5 006,  4 131,  3 551,  3 056,  2 557,  1 991,  1 323,   875,   447,   172,   42,   5,   0
8587,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2022,  8 350,  8 145,  8 703,  8 405,  7 180,  6 778,  5 916,  6 110,  5 221,  4 230,  3 612,  3 099,  2 596,  2 064,  1 369,   913,   472,   185,   47,   6,   0
8588,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2023,  8 451,  8 090,  8 594,  8 536,  7 295,  6 805,  5 964,  6 051,  5 428,  4 357,  3 683,  3 162,  2 651,  2 135,  1 442,   949,   505,   202,   53,   6,   0
