,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,NO OF CHILDREN(<15 YRS),(15-64 YRS),NO OF ADULT(>65 YRS),CHILD + ADULT,CDR(WORLD),ADR(WORLD),TDR(WORLD)
23,Estimates,World,,900,,,1,World,0,1972,  541 214,  488 025,  411 183,  386 174,  327 022,  258 730,  239 776,  221 347,  202 672,  178 405,  146 184,  127 012,  110 758,  85 558,  59 138,  35 203,  17 743,  6 756,  1 712,   281,   24,,541213.9500 ,488025.0220 ,411183.4155 ,386174.4790 ,327021.5555 ,258729.6305 ,239775.5225 ,221347.2945 ,202672.3730 ,178405.2825 ,146183.9125 ,127012.1320 ,110757.9575 ,85557.9915 ,59137.6715 ,35203.4050 ,17743.0535 ,6756.1550 ,1711.8885 ,280.5815 ,24.4060 ,1440422.3875 ,2198080.1395 ,206415.1525 ,1646837.5400 ,0.655309314,0.093907019,0.749216332
24,Estimates,World,,900,,,1,World,0,1973,  546 365,  492 532,  423 601,  393 827,  339 467,  269 208,  240 094,  225 113,  204 613,  182 783,  151 860,  126 148,  112 744,  87 617,  61 107,  36 361,  18 184,  7 071,  1 790,   293,   26,,546365.0425 ,492532.2380 ,423600.5625 ,393827.4985 ,339467.1200 ,269208.3360 ,240093.5495 ,225113.0155 ,204612.7510 ,182783.2680 ,151860.1410 ,126148.4155 ,112744.0500 ,87616.8165 ,61106.8525 ,36360.5475 ,18184.3830 ,7070.7670 ,1790.3565 ,293.1710 ,26.1600 ,1462497.8430 ,2245858.1450 ,212449.0540 ,1674946.8970 ,0.651197782,0.094595936,0.745793718
25,Estimates,World,,900,,,1,World,0,1974,  548 584,  497 316,  440 120,  398 287,  351 093,  281 585,  240 848,  228 531,  206 472,  186 714,  157 424,  126 063,  114 634,  89 768,  63 143,  37 546,  18 703,  7 377,  1 877,   304,   28,,548583.5930 ,497315.9570 ,440120.0535 ,398287.2290 ,351092.7630 ,281584.5080 ,240848.0600 ,228531.0800 ,206472.0555 ,186713.6620 ,157423.8790 ,126063.0665 ,114634.2325 ,89767.9460 ,63143.1170 ,37546.4595 ,18702.5045 ,7376.7480 ,1876.7210 ,304.4640 ,27.9970 ,1486019.6035 ,2291650.5355 ,218745.9570 ,1704765.5605 ,0.648449482,0.095453453,0.743902936
26,Estimates,World,,900,,,1,World,0,1975,  548 458,  504 139,  456 319,  399 965,  361 954,  296 162,  242 210,  231 348,  208 695,  190 216,  162 230,  127 962,  115 880,  91 910,  65 000,  38 964,  19 372,  7 624,  1 977,   321,   30,,548458.0740 ,504139.1585 ,456319.2850 ,399965.0565 ,361954.1120 ,296161.9020 ,242209.8965 ,231347.6840 ,208695.0425 ,190216.0260 ,162230.1395 ,127961.6475 ,115880.3765 ,91910.2460 ,64999.6490 ,38963.5030 ,19371.8965 ,7624.1935 ,1976.5720 ,320.5520 ,30.2650 ,1508916.5175 ,2336621.8830 ,225196.8770 ,1734113.3945 ,0.645768375,0.096377115,0.742145491
27,Estimates,World,,900,,,1,World,0,1976,  547 089,  511 797,  471 915,  401 351,  371 676,  309 707,  246 187,  233 578,  211 679,  193 286,  166 330,  131 982,  116 077,  93 869,  66 766,  40 533,  20 129,  7 845,  2 079,   339,   33,,547089.1025 ,511796.6490 ,471915.1755 ,401351.1205 ,371675.6385 ,309707.4810 ,246186.9045 ,233578.1970 ,211679.0960 ,193285.7360 ,166330.3535 ,131981.7380 ,116076.5620 ,93868.8780 ,66765.6310 ,40533.2635 ,20129.3800 ,7845.1930 ,2078.7350 ,338.8665 ,32.6765 ,1530800.9270 ,2381852.8270 ,231592.6235 ,1762393.5505 ,0.642693331,0.09723213,0.739925461
28,Estimates,World,,900,,,1,World,0,1977,  545 867,  519 515,  482 264,  406 259,  380 658,  322 032,  254 270,  234 737,  215 394,  195 723,  170 403,  137 079,  115 472,  95 812,  68 634,  42 133,  20 942,  8 091,  2 185,   357,   35,,545866.8935 ,519514.7040 ,482264.0945 ,406259.3555 ,380658.4385 ,322032.0120 ,254270.1065 ,234737.1625 ,215394.0285 ,195723.0125 ,170402.6230 ,137079.3130 ,115472.0885 ,95811.6700 ,68634.2970 ,42133.3330 ,20942.3545 ,8091.3960 ,2184.6635 ,357.1865 ,35.0630 ,1547645.6920 ,2432028.1405 ,238189.9635 ,1785835.6555 ,0.636360109,0.097938819,0.734298928
29,Estimates,World,,900,,,1,World,0,1978,  545 029,  525 030,  486 662,  418 536,  388 563,  334 502,  264 776,  235 144,  219 150,  197 637,  174 641,  142 603,  114 763,  97 796,  70 554,  43 813,  21 787,  8 382,  2 313,   379,   38,,545028.7780 ,525029.7915 ,486661.7970 ,418535.9835 ,388563.2840 ,334502.4260 ,264776.1480 ,235143.7660 ,219150.4600 ,197636.5310 ,174640.8275 ,142602.7800 ,114762.6500 ,97796.4665 ,70554.4145 ,43812.7005 ,21786.5020 ,8382.3315 ,2313.1370 ,379.0665 ,37.6605 ,1556720.3665 ,2490314.8560 ,245062.2790 ,1801782.6455 ,0.625109858,0.098406143,0.723516001
30,Estimates,World,,900,,,1,World,0,1979,  546 647,  527 733,  491 441,  434 741,  393 445,  346 298,  277 090,  235 923,  222 500,  199 439,  178 435,  147 962,  114 843,  99 694,  72 575,  45 528,  22 646,  8 715,  2 440,   405,   40,,546646.5615 ,527733.3265 ,491441.0230 ,434740.9460 ,393444.8285 ,346297.9705 ,277089.8010 ,235922.7145 ,222500.4820 ,199439.0425 ,178434.9135 ,147961.6820 ,114843.0175 ,99693.8510 ,72574.5540 ,45528.4830 ,22646.4185 ,8714.6505 ,2440.3120 ,404.7350 ,40.2150 ,1565820.9110 ,2550675.3980 ,252043.2190 ,1817864.1300 ,0.613884821,0.098814306,0.712699127
31,Estimates,World,,900,,,1,World,0,1980,  551 846,  528 136,  498 284,  450 852,  395 611,  357 573,  291 680,  237 372,  225 291,  201 616,  181 785,  152 542,  116 720,  100 947,  74 528,  47 047,  23 658,  9 096,  2 544,   433,   43,,551846.0930 ,528135.8600 ,498284.1060 ,450852.4070 ,395611.4780 ,357573.2680 ,291680.0085 ,237372.4370 ,225291.4585 ,201616.4050 ,181784.8575 ,152541.8850 ,116719.7405 ,100947.1385 ,74527.7660 ,47047.3670 ,23658.0950 ,9096.3885 ,2543.7145 ,432.9425 ,42.8205 ,1578266.0590 ,2611043.9450 ,258296.2325 ,1836562.2915 ,0.604457869,0.098924506,0.703382375
32,Estimates,World,,900,,,1,World,0,1981,  559 672,  527 093,  505 918,  466 735,  397 340,  367 792,  305 418,  241 514,  227 710,  204 591,  184 799,  156 438,  120 516,  101 140,  76 225,  48 432,  24 783,  9 510,  2 642,   462,   46,,559671.5050 ,527092.8765 ,505918.4660 ,466734.7565 ,397339.7345 ,367791.8585 ,305417.7100 ,241514.4835 ,227710.1575 ,204591.2145 ,184798.9390 ,156438.2610 ,120515.9520 ,101140.3040 ,76225.4345 ,48432.1850 ,24783.0080 ,9510.4105 ,2642.1255 ,462.2030 ,45.7215 ,1592682.8475 ,2672853.0670 ,263241.3920 ,1855924.2395 ,0.5958737,0.098487042,0.694360742
